Catégorie,Série,Modèle,Finition,Motorisation,Puissance (ch),0-100 km/h (s),Transmission
Berline,Série 3,330i,M Sport,Essence,245,5.9,Propulsion
Berline,Série 3,M340i xDrive,M Performance,Essence,374,4.4,xDrive
Sportive,M3,M3 Competition,M,Essence,510,3.9,xDrive / Propulsion
Sportive,M4,M4 Competition,M,Essence,510,3.9,xDrive / Propulsion
Sportive,M5,M5 Competition,M,Essence,625,3.3,xDrive
Luxe,M8,M8 Competition Coupé,M,Essence,625,3.2,xDrive
Compacte,Série 1,128ti,M Sport,Essence,265,6.1,Traction
Compacte,M2,M2 Coupé,M,Essence,460,4.1,Propulsion
SUV,X1,X1 xDrive30e,Hybride,Essence/Elec,326,5.6,xDrive
SUV,X3,X3 M Competition,M,Essence,510,3.8,xDrive
SUV,X5,X5 M60i xDrive,M Performance,Essence (MHEV),530,4.3,xDrive
SUV,XM,XM Label Red,M,Hybride Rechargeable,748,3.8,xDrive
Électrique,i4,i4 eDrive40,eDrive,Électrique,340,5.7,Propulsion
Électrique,i4,i4 M50,M Performance,Électrique,544,3.9,xDrive
Électrique,i5,i5 M60 xDrive,M Performance,Électrique,601,3.8,xDrive
Électrique,iX,iX M60,M Performance,Électrique,619,3.8,xDrive
Luxe,Série 7,750e xDrive,Excellence,Hybride Rechargeable,490,4.8,xDrive
Luxe,i7,i7 M70 xDrive,M Performance,Électrique,659,3.7,xDrive
